iso3,country_name,income_level,ilostat_year,exposed_SEX_F,exposed_SEX_M,sub_SEX_F,sub_SEX_M,both_SEX_F,both_SEX_M,aug_SEX_F,aug_SEX_M,matched_weight_SEX_F,matched_weight_SEX_M,matched_codes_SEX_F,matched_codes_SEX_M,exposed_gap_pp,sub_gap_pp,both_gap_pp,aug_gap_pp,domain,unit_note
ECU,Ecuador,Upper middle income,2024,0.4575180565173728,0.4447973497381664,0.19110782386161118,0.17328170055143466,0.2238384737461254,0.22470476957294608,0.04257175890963608,0.04681087961378567,0.9574690713764222,0.9728388072800374,40,42,1.2720706779206392,1.7826123310176523,-0.08662958268206844,-0.4239120704149585,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
EGY,"Egypt, Arab Rep.",Lower middle income,2024,0.4656824721390525,0.4416922657366746,0.1937309247140059,0.20178994265252506,0.24670128803852742,0.2209940928812716,0.025250259386519137,0.018908230202877893,1.0000000000000004,0.9997161084332926,36,39,2.3990206402377923,-0.8059017938519153,2.5707195157255835,0.6342029183641243,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
ESP,Spain,High income,2024,0.5836052692703644,0.5694707306503539,0.2864239899755029,0.25442707379615714,0.2635491562206854,0.28011081107971925,0.03363212307417599,0.034932845774477646,0.9999999999999998,1,39,42,1.4134538620010462,3.1996916179345747,-1.6561654859033825,-0.13007227003016542,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
ETH,Ethiopia,Not classified,2021,0.18811086900339902,0.16826982926809206,0.1039168294567972,0.08107913260329996,0.08093447983481306,0.08341286946200703,0.0032595597117887473,0.0037778272027850467,0.6732992114343094,0.5370741278004394,42,42,1.9841039735306958,2.2837696853497236,-0.24783896271939748,-0.051826749099629935,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
FIN,Finland,High income,2024,0.571897853001046,0.6116728104031786,0.24171469698068365,0.24691840837220316,0.2844443809954514,0.3150662766593226,0.04573877502491089,0.04968812537165271,0.9999999999999998,0.9999999999999999,38,41,-3.977495740213255,-0.5203711391519511,-3.062189566387119,-0.394935034674182,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
FRA,France,High income,2024,0.5933357210293979,0.5947923695520773,0.25845892519969516,0.23032184346934728,0.2890122496878884,0.31465994847963713,0.04586454614181448,0.04981057760309288,1,1.0000000000000002,41,41,-0.1456648522679349,2.8137081730347875,-2.5647698791748716,-0.39460314612784,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
GBR,United Kingdom,High income,2024,0.5907457072748874,0.6044130778152622,0.24723943043636024,0.23504931377976393,0.2973635494392153,0.3198753194803974,0.04614272739931188,0.049488444555101256,1.0000000000000004,0.9999999999999999,40,40,-1.3667370540374812,1.2190116656596306,-2.25117700411821,-0.33457171557893794,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
GIN,Guinea,Lower middle income,2019,0.16127099547541757,0.12383677685691953,0.10403094195105164,0.07161152109399584,0.05567637947771132,0.04822955568825682,0.0015636740466546328,0.003995700074666902,0.6672454648582415,0.673446079732765,23,37,3.7434218618498036,3.2419420857055807,0.74468237894545,-0.2432026028012269,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
GRC,Greece,High income,2024,0.560988527406206,0.5386483107533164,0.2799469570250044,0.2437959939874597,0.24811154758487147,0.259588821143523,0.032930022796330075,0.03526349562233388,0.9999999999999998,1,38,38,2.2340216652889544,3.6150963037544672,-1.1477273558651524,-0.23334728260038032,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
GTM,Guatemala,Upper middle income,2024,0.42202338525233213,0.3639483063547085,0.20027666166116687,0.15297274337976915,0.1949219213366063,0.18050604552514768,0.02682480225455889,0.030469517449791605,0.9806878562398672,0.9579328387145364,37,38,5.807507889762364,4.730391828139771,1.4415875811458618,-0.3644715195232715,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
HND,Honduras,Lower middle income,2024,0.4132067358275775,0.3465444517298895,0.18976305058640786,0.1461522889948393,0.1986096555615783,0.17170884053230515,0.024834029679591463,0.028683322202745037,1,1,33,39,6.666228409768799,4.3610761591568545,2.690081502927316,-0.38492925231535735,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
HRV,Croatia,High income,2024,0.6346445108020071,0.609824716568563,0.2605888850449078,0.22892170528639927,0.29058055207472067,0.2982877724623934,0.08347507368237879,0.08261523881977054,1.0000000000000002,0.9999999999999999,38,42,2.481979423344416,3.1667179758508524,-0.7707220387672742,0.08598348626082525,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
HUN,Hungary,High income,2024,0.589277685664584,0.5593360451951438,0.282005500183395,0.24705529228347073,0.2746976170355495,0.2775979396825589,0.032574568445639655,0.03468281322911405,1,1.0000000000000002,42,42,2.9941640469440256,3.4950207899924255,-0.2900322647009401,-0.21082447834743917,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
IDN,Indonesia,Upper middle income,2023,0.4817737185345459,0.4621783993354911,0.22543264104012656,0.2189470134376365,0.23476600634834302,0.22111154998921753,0.021575071146076246,0.022119835908636927,0.9738709216703084,0.9737066500756646,42,42,1.9595319199054828,0.6485627602490052,1.3654456359125489,-0.05447647625606809,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
IND,India,Lower middle income,2024,0.43725446552709535,0.46107383906973787,0.1696569080562415,0.2050363342732352,0.23544846602384834,0.2295318951357129,0.03214909144700549,0.026505609660789718,0.9384890692882288,0.9843845886981776,39,39,-2.381937354264252,-3.5379426216993695,0.5916570888135436,0.5643481786215775,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
IRL,Ireland,High income,2024,0.580705292369124,0.5843879868135936,0.246059554856098,0.22499366130679954,0.29045267066043856,0.3128339237315771,0.044193066852587636,0.04656040177521693,0.9999999999999997,0.9999999999999997,36,40,-0.36826944444695586,2.106589354929847,-2.2381253071138527,-0.2367334922629291,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
IRN,"Iran, Islamic Rep.",Upper middle income,2024,0.45897964239204553,0.46404029644430106,0.20138853699775408,0.2326855315878839,0.23536290176439323,0.213071744118093,0.022228203629898212,0.01828302073832414,0.9994937528699357,0.9996658522685373,38,39,-0.5060654052255531,-3.1296994590129827,2.2291157646300244,0.39451828915740733,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
IRQ,Iraq,Upper middle income,2021,0.31149139252705743,0.29340321094539745,0.10076090565071234,0.12905925218211775,0.19443980325243526,0.14960713674742013,0.01629068362390981,0.01473682201585959,0.9827070583288527,0.9780897604287275,27,42,1.808818158165998,-2.8298346531405407,4.4832666505015135,0.15538616080502196,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
ISR,Israel,High income,2024,0.5667105155836497,0.5854787583799098,0.22353853494262735,0.22425462376043034,0.2972321832291022,0.31385614201291423,0.04593979741192021,0.04736799260656514,0.9999999999999997,0.9999999999999999,38,38,-1.8768242796260104,-0.07160888178029956,-1.662395878381201,-0.14281951946449323,Occupation ISCO-2,country x sex; ISCO-08 2-digit employment weights
